perfil,tamanho,instancia,algoritmo,exato,status,soma_a,soma_b,diferenca,diferenca_referencia,referencia_comprovada,gap_absoluto,gap_percentual,desequilibrio_relativo_pct,atingiu_otimo,tempo_ms,tempo_min_ms,tempo_max_ms,tempo_desvio_padrao_ms,repeticoes_medicao,memoria_alocada_mb,estados_explorados,chamadas_recursivas,podas,profundidade_maxima,observacao
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v1,BranchAndBound,true,SUCESSO,457,458,1,1,true,0,0.0000,0.109290,true,2.6082,2.6082,2.6082,0.0000,1,0.0006,141475,141475,63334,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v1,ProgramacaoDinamica,true,SUCESSO,457,458,1,1,true,0,0.0000,0.109290,true,0.8393,0.8393,0.8393,0.0000,1,0.0108,10076,0,0,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v1,Guloso,false,SUCESSO,457,458,1,1,true,0,0.0000,0.109290,true,0.0328,0.0328,0.0328,0.0000,1,0.0003,22,0,0,22,
UNIFORME_PEQUENO,22,uniforme_pequeno_n22_v1,KarmarkarKarp,false,SUCESSO,457,458,1,1,true,0,0.0000,0.109290,true,0.1702,0.1702,0.1702,0.0000,1,0.0048,21,0,0,6,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v0,Backtracking,true,SUCESSO,581,581,0,0,true,0,0.0000,0.000000,true,0.0580,0.0580,0.0580,0.0000,1,0.0002,16107,16107,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v0,BranchAndBound,true,SUCESSO,581,581,0,0,true,0,0.0000,0.000000,true,0.0693,0.0693,0.0693,0.0000,1,0.0007,1539,1539,514,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v0,ProgramacaoDinamica,true,SUCESSO,581,581,0,0,true,0,0.0000,0.000000,true,0.9797,0.9797,0.9797,0.0000,1,0.0146,13968,0,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v0,Guloso,false,SUCESSO,581,581,0,0,true,0,0.0000,0.000000,true,0.0340,0.0340,0.0340,0.0000,1,0.0003,24,0,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v0,KarmarkarKarp,false,SUCESSO,581,581,0,0,true,0,0.0000,0.000000,true,0.1549,0.1549,0.1549,0.0000,1,0.0052,23,0,0,7,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v1,Backtracking,true,SUCESSO,570,570,0,0,true,0,0.0000,0.000000,true,0.0569,0.0569,0.0569,0.0000,1,0.0002,7932,7932,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v1,BranchAndBound,true,SUCESSO,570,570,0,0,true,0,0.0000,0.000000,true,0.0845,0.0845,0.0845,0.0000,1,0.0007,1843,1843,521,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v1,ProgramacaoDinamica,true,SUCESSO,570,570,0,0,true,0,0.0000,0.000000,true,0.2136,0.2136,0.2136,0.0000,1,0.0144,13704,0,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v1,Guloso,false,SUCESSO,571,569,2,0,true,2,,0.175439,false,0.0409,0.0409,0.0409,0.0000,1,0.0003,24,0,0,24,
UNIFORME_PEQUENO,24,uniforme_pequeno_n24_v1,KarmarkarKarp,false,SUCESSO,570,570,0,0,true,0,0.0000,0.000000,true,0.1068,0.1068,0.1068,0.0000,1,0.0052,23,0,0,9,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v0,Backtracking,true,SUCESSO,628,628,0,0,true,0,0.0000,0.000000,true,0.0513,0.0513,0.0513,0.0000,1,0.0003,14092,14092,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v0,BranchAndBound,true,SUCESSO,628,628,0,0,true,0,0.0000,0.000000,true,0.0608,0.0608,0.0608,0.0000,1,0.0007,2424,2424,657,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v0,ProgramacaoDinamica,true,SUCESSO,628,628,0,0,true,0,0.0000,0.000000,true,0.1604,0.1604,0.1604,0.0000,1,0.0170,16354,0,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v0,Guloso,false,SUCESSO,629,627,2,0,true,2,,0.159236,false,0.0338,0.0338,0.0338,0.0000,1,0.0003,26,0,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v0,KarmarkarKarp,false,SUCESSO,628,628,0,0,true,0,0.0000,0.000000,true,0.1669,0.1669,0.1669,0.0000,1,0.0056,25,0,0,6,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v1,Backtracking,true,SUCESSO,754,754,0,0,true,0,0.0000,0.000000,true,0.0784,0.0784,0.0784,0.0000,1,0.0003,24317,24317,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v1,BranchAndBound,true,SUCESSO,754,754,0,0,true,0,0.0000,0.000000,true,0.0406,0.0406,0.0406,0.0000,1,0.0007,1858,1858,637,26,
